,name,city,country,tags,office_lat,office_lon,funds_raised_float,currency,fx_rate,funds_raised_usd,desing_tag,gaming_tag,funding_tag
0,Digg,San Francisco,USA,"community, social, news, bookmark, digg, technology, design",37.764726,-122.394523,45000000.0,$,1.0,45000000.0,True,False,True
1,Scribd,San Francisco,USA,"book-subscription, digital-library, netflix-for-books, sharing, documents, social, pdf, social-publishing, online-publishing",37.789634,-122.404052,25800000.0,$,1.0,25800000.0,False,False,True
2,Babelgum,London,GBR,"iptv, web2ireland",53.344104,-6.267494,13200000.0,$,1.0,13200000.0,False,False,True
3,Yahoo!,Sunnyvale,USA,"search, portal, webmail, photos",37.418531,-122.025485,6800000.0,$,1.0,6800000.0,False,False,True
4,AddThis,Vienna,USA,"sharing, social-applications, social-media, analytics, audience-targeting, advertising-solutions, web-plugins, consumer-engagement-tools, big-data",38.926172,-77.245195,73000000.0,$,1.0,73000000.0,False,False,True
5,AddThis,New York,USA,"sharing, social-applications, social-media, analytics, audience-targeting, advertising-solutions, web-plugins, consumer-engagement-tools, big-data",40.724604,-73.996876,73000000.0,$,1.0,73000000.0,False,False,True
6,AddThis,Culver City,USA,"sharing, social-applications, social-media, analytics, audience-targeting, advertising-solutions, web-plugins, consumer-engagement-tools, big-data",34.0263021,-118.380954,73000000.0,$,1.0,73000000.0,False,False,True
9,AddThis,Troy,USA,"sharing, social-applications, social-media, analytics, audience-targeting, advertising-solutions, web-plugins, consumer-engagement-tools, big-data",42.557958,-83.167884,73000000.0,$,1.0,73000000.0,False,False,True
10,Sparter,,USA,"gaming, game, wow, worldofwarcraft, virtualgoods",37.09024,-95.712891,0.0,$,1.0,0.0,False,True,False
11,SmugMug,Mountain View,USA,"photo, photosharing, antiweb20, videosharing, h264, video",37.390056,-122.067692,0.0,$,1.0,0.0,False,False,False
12,Stickam,Los Angeles,USA,"video, livestream, webcam, live, livechat, chat, broadcast, stream",34.051409,-118.254558,0.0,$,1.0,0.0,False,False,False
13,AdaptiveBlue,NYC,USA,"semantic-web, contextual-browsing, recommendations, entertainment, checkins",40.801358,-74.3372,24000000.0,$,1.0,24000000.0,False,False,True
15,Mashery,San Francisco,USA,"api, api-management, saas, enterprise, apis, platform, web-services, analytics",37.7870842,-122.4038047,34700000.0,$,1.0,34700000.0,False,False,True
19,Wakoopa,Amsterdam,NLD,"socialnetwork, software, desktop, apps",52.3745228,4.8948623,1000000.0,$,1.0,1000000.0,False,False,False
20,Coghead,Redwood City,USA,"applications, web, database, ajax, flash, apps, paas, platform-as-a-service",37.476479,-122.221717,11200000.0,$,1.0,11200000.0,False,False,True
25,ConVerdge,Santa Monica,USA,"networking, social, web2-0, video, community, platform",34.0126379,-118.495155,0.0,$,1.0,0.0,False,False,False
26,WatZatSong,Paris,FRA,gaming,48.866323,2.381514,0.0,$,1.0,0.0,False,True,False
27,GigaOM,San Francisco,USA,"blog, web2-0",37.775196,-122.419204,14300000.0,$,1.0,14300000.0,False,False,True
28,GigaOM,New York,USA,"blog, web2-0",40.7143528,-74.0059731,14300000.0,$,1.0,14300000.0,False,False,True
29,Go2Web20,Tel Aviv,ISR,"go2web20, web2-0, flash, ajax, logos, directory",32.0554,34.7595,0.0,$,1.0,0.0,False,False,False
30,Seesmic,San Francisco,USA,"twitter-application, tweet, multi-user, twitter, web-based-application, tweet-management, drag-and-drop, vertical-column-layout, brand-monitoring, social-media, facebook, chatter, salesforce, android, wp7, plugins, marketplace, social",37.775196,-122.419204,16000000.0,$,1.0,16000000.0,False,False,True
31,GoingOn,San Francisco,USA,"socialnetworking, enterprise, social-media, social-software",37.782263,-122.392142,8500000.0,$,1.0,8500000.0,False,False,True
32,Parakey,Mountain View,USA,"social, webos, firefox",37.40047,-122.072981,0.0,$,1.0,0.0,False,False,False
33,Socialtext,Palo Alto,USA,"wiki, socialsoftware, socialnetworking, social-networking, social-software, collaboration, enterprise2-0",37.442949,-122.1615,46800000.0,$,1.0,46800000.0,False,False,True
34,Bazaarvoice,Austin,USA,"bazaarvoice, ecommerce, ugc, wom, reviews, social-commerce, web-2-0, community, social-networking, social-media, product-reviews, customer-reviews, user-generated-qa, user-generated-content, saas",30.407545,-97.717667,131000000.0,$,1.0,131000000.0,False,False,True
35,Nintendo,,JPN,"games, console",36.204824,138.252924,0.0,$,1.0,0.0,False,False,False
36,ONEsite,Oklahoma City,USA,"social-platform, social-networking-software, mobile-platform",35.612679,-97.5736,0.0,$,1.0,0.0,False,False,False
37,GoLightly,Mill Valley,USA,"golightly, whitelabel, socialnetworking, onlinecommunity, best, collaboration, engagement, engagemembers, buildrelationships, customersupport, web2-0, relationshipbuilding, greatpeople, easytouse, blogs, wikis, library, membershipdirectories, slow, forums",37.898575,-122.537302,0.0,$,1.0,0.0,False,False,False
38,eBuddy,Amsterdam,NLD,"ebuddy, crunchbase, techcrunch, im, mobile-im, mim, web-based-messenger, www-msn-com-br, aol, open-aim-2-0, windows-live-messenger, yahoo-messenger, myspace-im, googletalk, xms, mobile-messaging",52.3640933,4.8919457,11500000.0,€,1.07,12305000.0,False,False,True
39,eBuddy,San Francisco,USA,"ebuddy, crunchbase, techcrunch, im, mobile-im, mim, web-based-messenger, www-msn-com-br, aol, open-aim-2-0, windows-live-messenger, yahoo-messenger, myspace-im, googletalk, xms, mobile-messaging",37.787683,-122.410943,11500000.0,€,1.07,12305000.0,False,False,True
40,eBuddy,Singapore,SGP,"ebuddy, crunchbase, techcrunch, im, mobile-im, mim, web-based-messenger, www-msn-com-br, aol, open-aim-2-0, windows-live-messenger, yahoo-messenger, myspace-im, googletalk, xms, mobile-messaging",51.500152,-0.126236,11500000.0,€,1.07,12305000.0,False,False,True
41,Grockit,San Francisco,USA,"techcrunch50, tc50, learning, grockit, gmat, mmol, mmo, children, education, testprep, testing, gaming",37.775196,-122.419204,44700000.0,$,1.0,44700000.0,False,True,True
42,Adobe Systems,San Jose,USA,"adobe, flash, illustrator, creative, photoshop, design, imaging, editing",37.320052,-121.877636,0.0,$,1.0,0.0,True,False,False
43,JumpBox,Phoenix,USA,"serversoftware, virtualization, cloudcomputing, virtualappliances",33.429864,-111.944967,0.0,$,1.0,0.0,False,False,False
44,LongJump,Sunnyvale,USA,"application, customapplications, crm, customer-relationship-management, cloud, paas, platform-as-a-service, saas, software-as-a-service",37.384651,-121.992132,0.0,$,1.0,0.0,False,False,False
45,Boonex,Sydney,AUS,"community, software, video, chat, unity, im, standalone, hosted, mp3, player, ray, orca, dolphin, shark, barracuda, boonex, dating, free, messanger",-33.722577,150.981801,0.0,$,1.0,0.0,False,False,False
46,Retrevo,Sunnyvale,USA,"retrevo, gadgets, shopping, product-reviews, crunch-base, tech-crunch, review-aggregator, manuals, reviews, search, electronics, consumer-electronics, support, troubleshoot, deals, blog, gadgetology, pulse, semantic-web",37.368594,-122.034021,11900000.0,$,1.0,11900000.0,False,False,True
47,WebbAlert,Los Angeles,USA,"webbalert, blog, video, vlog, technology, gaming, news, bebospy-com",34.052187,-118.243425,0.0,$,1.0,0.0,False,True,False
48,Kaneva,Atlanta,USA,"virtualworld, 3dweb",33.916374,-84.350663,0.0,$,1.0,0.0,False,False,False
49,Aniboom,,ISR,"animation-production, cartoon-production, cartoon, video, anime, cartoons, animations, online-collaboration",31.046051,34.851612,14500000.0,$,1.0,14500000.0,False,False,True
50,Webkinz,Woodbridge,CAN,"webkinz, virtualworld, virtualpets, crunchbase, clubpenguin, webkinzworld, digital, webkinzmom, ecobuddies",43.76969,-79.549577,0.0,$,1.0,0.0,False,False,False
51,MyToons,San Antonio,USA,"animation, video, mytoons, films, cartoons",29.427051,-98.487764,0.0,$,1.0,0.0,False,False,False
52,ActiveWorlds,Newburyport,USA,"virtualworld, universe, activeworlds, world, 3d, onlinegaming",42.7973978,-70.8873327,0.0,$,1.0,0.0,False,True,False
54,Sulake,Helsinki,FIN,"sulake, experting, habbo, gaming, ludus, fun, hotel, staff",60.165166,24.945937,0.0,$,1.0,0.0,False,True,False
55,Echo,San francisco,USA,"platform, real-time, website, digital, social-media, ratings, comment, blog, poll, polls, comments, rate, javascript, widget, database, publishing, media, startups",38.0729365,-122.1879633,4800000.0,$,1.0,4800000.0,False,False,True
56,INgage Networks,Naples,USA,"white-label-social-networks, social-crm, collaboration-software, dimensional-data-warehouse, social-analytics, saas, cloud-computing, social-computing, government-2-0, enterprise-2-0, mobile-marketing, community-platform, enterprise-social-networks",26.246414,-81.788104,0.0,$,1.0,0.0,False,False,False
58,Metacafe,San Francisco,USA,"online-video, video-entertainment, online-entertainment, digital-entertainment, movies, video-games, sports, music, tv",37.437328,-122.159928,50000000.0,$,1.0,50000000.0,False,False,True
59,Flock,Menlo Park,USA,"webbrowser, mozilla, social, browser, platform, innovative, transformative, disruptive, dynamic",37.491356,-122.228843,28300000.0,$,1.0,28300000.0,False,False,True
60,Akamai Technologies,Cambridge,USA,"broadcast, acceleration, content-distribution, cdn, adn, intelligent-platform, web-traffic, iaas",42.364059,-71.08907,0.0,$,1.0,0.0,False,False,False
61,Negonation,,ESP,"legal-services, identification, verification, design",40.463667,-3.74922,0.0,$,1.0,0.0,True,False,False
62,TokBox,San Francisco,USA,"enterprise-grade-webrtc, webrtc-demo, webrtc-world-expo, group-video-chat-api, video-chat-platform, archiving, recording, video-conferencing, video-chat-sdk, android-sdk, video-chat-ios-sdk",37.779507,-122.39071,26000000.0,$,1.0,26000000.0,False,False,True
70,Sampa,Redmond,USA,"sampa, websitecreator, family-website, baby-website, private-website",47.682233,-122.135521,1310000.0,$,1.0,1310000.0,False,False,True
71,Weebly,San Francisco,USA,"weebly, ajax, websiteeditor, sitecreator",37.795555,-122.400729,670000.0,$,1.0,670000.0,False,False,False
72,Yola,San Francisco,USA,"website-creator, site-creator, small-business, sitebuilder, website, synthasite, silicon-cape, siliconcape",37.7911148,-122.3954751,25000000.0,$,1.0,25000000.0,False,False,True
74,BitTorrent,San Francisco,USA,"bittorrent, consumer-software, utorrent, microtorrent, apps, p2p",37.790998,-122.394668,40800000.0,$,1.0,40800000.0,False,False,True
75,Socialthing,Boulder,USA,"socialthing, contentmanagement, digitallifemanager, techstars, opensocialnetwork, lifestreaming, techstars-boulder-2007",40.0186731,-105.2762236,415000.0,$,1.0,415000.0,False,False,False
76,Cloudant,Boston,USA,"cloud-computing, big-data, databases, software-development",42.35892,-71.05781,18300000.0,$,1.0,18300000.0,False,False,True
77,Sun Microsystems,Santa Clara,USA,"vendor, computer, hardware, software",37.394791,-121.955463,0.0,$,1.0,0.0,False,False,False
78,Pixsy Image Search,San Francisco,USA,"search, internet, web, video, images, files, command-line, commands",37.779558,-122.393041,0.0,$,1.0,0.0,False,False,False
79,Jooce,Paris,FRA,"jooce, webos, weboperatingsystem",48.856667,2.350987,0.0,$,1.0,0.0,False,False,False
80,Zango,Bellevue,USA,"games, videos, downloads, free, adware",47.579208,-122.155668,40000000.0,$,1.0,40000000.0,False,False,True
81,NewsGator,Denver,USA,"social-business, social-business-software, collaboration, innovation-managemnt, i",39.755092,-104.988123,39300000.0,$,1.0,39300000.0,False,False,True
82,ReachLocal,London,GBR,"internet-marketing, online-advertising, web-presence, customer-retention, social-media, seo, sem",41.53155,-72.188584,68100000.0,$,1.0,68100000.0,False,False,True
83,ReachLocal,Toronto,CAN,"internet-marketing, online-advertising, web-presence, customer-retention, social-media, seo, sem",43.7192415,-79.338246,68100000.0,$,1.0,68100000.0,False,False,True
87,dpreview,Seattle,USA,"digitalcamera, reviews, amazon",55.378051,-3.435973,0.0,$,1.0,0.0,False,False,False
88,Multiply,"Kebayoran Lama, Jakarta Selatan",IDN,"multiply, contentsharing, digitalcontent, social",26.400499,-80.097742,26600000.0,$,1.0,26600000.0,False,False,True
90,LocaModa,Cambridge,USA,"location-based, place-based-social-media, dooh, digital-signage, interactive, platform, social-media, digital-marketing",42.358822,-71.104329,7900000.0,$,1.0,7900000.0,False,False,True
91,ChannelAdvisor,Morrisville,USA,"ebay, digitallocker, saas, software-as-a-service, digitalmarketplace, paid-search, come-auctionparison-shopping-engines, online-shopping, marketplace, ecommerce, sell, auction, digitalgoods, e-auction",35.854483,-78.815635,75000000.0,$,1.0,75000000.0,False,False,True
92,Tizra,Providence,USA,"ebooks-publishing, e-books-online-marketing, saas, pdf, website-authoring, web-cms, information-commerce, access-control",41.841713,-71.399771,850000.0,$,1.0,850000.0,False,False,False
93,Thumbplay,New York,USA,"mobile, music, video, sharing, gaming, cloud, media, blogs, photos, playlist, musicsearch, jukebox, music-service",40.725435,-73.997395,41500000.0,$,1.0,41500000.0,False,True,True
94,Xfire,Santa Monica,USA,"games, pc, entertainment, onlinegaming, skillgaming, pcgaming, socialnetworking, instantmessaging",34.0184659,-118.49863,7000000.0,$,1.0,7000000.0,False,True,True
95,Spiceworks,Austin,USA,"spiceworks, adsupported, itmanagement, desktopsoftware, smb, austin",30.386601,-97.753739,54000000.0,$,1.0,54000000.0,False,False,True
96,OMGPOP,New York,USA,"dating, gaming, auction",40.723384,-74.001704,16600000.000000002,$,1.0,16600000.000000002,False,True,True
98,Daylife,New York,USA,digital-publishing,40.643438,-73.886452,12300000.0,$,1.0,12300000.0,False,False,True
99,Crunchyroll,San Francisco,USA,"crunchyroll, anime, manga, video, gaming, music, kdrama, jdrama, subscription",37.781265,-122.393229,4800000.0,$,1.0,4800000.0,False,True,True
101,MediaPops,Seattle,USA,"mediapops, music, movies, books, discovery, concerts, gasmes, games, new",47.611012,-122.333523,0.0,$,1.0,0.0,False,False,False
107,GENWI,Los Altos,USA,"mcms, mobile-content-management-system, live-and-engaging-apps, cloud-publishing, design-freely, revise-in-real-time, go-mobile-quickly",33.8171,-111.9035,7100000.0,$,1.0,7100000.0,True,False,True
108,ITema,New London,USA,softwarestore,41.345754,-72.105722,0.0,$,1.0,0.0,False,False,False
110,app2you,La Jolla,USA,"custom-web-apps, forms-driven, hosted, do-it-yourself, diy",32.847521,-117.274609,169000.0,$,1.0,169000.0,False,False,False
111,Snoozester,Rockville,USA,"web2-0, web20, snoozester, wakeup, sleep, voip, reminder, notification, oversleep, service",39.052614,-77.123153,0.0,$,1.0,0.0,False,False,False
112,FlowPlay,Seattle,USA,"flowplay, casual-games, virtual-world, avatars, mmo, casino, mmorpg, ourworld, vegas-world",47.6015315,-122.335943,3970000.0,$,1.0,3970000.0,False,False,True
114,RatePoint,Needham,USA,"customer-feedback, online-reputation-management, small-business, reviews, business-reviews, web-hosting, site-seal, email-marketing, product-reviews, surveys, survey-tools",42.296111,-71.238524,24500000.0,$,1.0,24500000.0,False,False,True
115,Smartsheet,Bellevue,USA,"online-project-management-software, saas, project-management, collaboration, spreadsheet",47.617842,-122.20052,32400000.0,$,1.0,32400000.0,False,False,True
116,OneRiot,Boulder,USA,"realtime, real-time, ad-network, realtime-web, brands, marketers, twitter, developers, iphone-ads, android-ads, application, apps, social-web",40.01621,-105.28131,27300000.0,$,1.0,27300000.0,False,False,True
117,ChessPark,West Palm Beach,USA,"onlinegames, chess, multiplayer",43.67084,-83.913153,1000000.0,$,1.0,1000000.0,False,False,False
119,Webjam,London,GBR,"webjam, social-publishing, social-networking, online-communities, collaboration",51.519819,-0.136174,2000000.0,$,1.0,2000000.0,False,False,True
120,mig33,Singapore,SGP,"socialentertainment, platform, clients, android, blackberry, gree, mtk, j2me, web, online, mobile, communities, virtual-gifts, avatars, chat, chatroom, games",37.580304,-122.343679,32400000.0,$,1.0,32400000.0,False,False,True
121,Realius,Berkeley,USA,"realius, games, realstate",37.887864,-122.26999,500000.0,$,1.0,500000.0,False,False,False
122,Metaplace,Solana Beach,USA,"metaplace, games, social, facebook, mmo, areae, island-life, my-vineyard",33.020832,-117.077311,9400000.0,$,1.0,9400000.0,False,False,True
123,BroadClip,Livermore,USA,"digitaldistribution, internetradio",37.661237,-121.803572,3110000.0,$,1.0,3110000.0,False,False,True
124,BrightQube,Carlsbad,USA,"brightqube, photography, photo, photos, images, stock, e-commerce, ecommerce, sales, online, search, creative, design, ui, mosaic, marketplace, metadata, imaging, digital, agencies, web",33.09568,-117.244034,850000.0,$,1.0,850000.0,True,False,False
127,GroupSwim,San Francisco,USA,"groupswim, collaboration, enterprise-2-0, forum, online-community, enterprise, saas, software",37.779558,-122.393041,0.0,$,1.0,0.0,False,False,False
128,Ponoko,Oakland,USA,"individualized-goods, personalized-goods, customized-goods, design, make, sell, marketplace, diy, miy, digital-manufacturing, digital-fabrication, laser-cutting, cnc-routing, 3d-printing, rapid-manufacturing, distributed-manufacturing, user-generated-cont",37.8136086,-122.2966496,0.0,$,1.0,0.0,True,False,False
130,Jiglu,London,GBR,"social-business-software, tagging, aggregation, collaboration",51.54236,-0.149522,800000.0,$,1.0,800000.0,False,False,False
131,RingCentral,San Mateo,USA,"business-phone-service, voip, phone, toll-free-numbers, 800-numbers, internet-fax, office, mobile",37.560155,-122.285588,44000000.0,$,1.0,44000000.0,False,False,True
132,PlanHQ,Wellington,NZL,"business-plan, online-business-plan, venture-capital, vc, web-based-business-software, project-managment",-41.28648,174.776217,250000.0,$,1.0,250000.0,False,False,False
133,Zimbra,Palo Alto,USA,"email, ajaxwebmail, ajax, exchange, microsoftexchange, webmail, productivity, productivity-software, collaboration, collaboration-software",37.557637,-122.285714,14500000.0,$,1.0,14500000.0,False,False,True
134,Zipidee,,USA,"digitalmarketplace, ebay, digitallocker, digitalgoods",37.09024,-95.712891,0.0,$,1.0,0.0,False,False,False
135,Whiskey Media,San Francisco,USA,"structured-wikis, cnet, web2-0, engagement-publishing",37.856331,-122.495222,4000000.0,$,1.0,4000000.0,False,False,True
136,Radar Networks,San Francisco,USA,"tagging, autotag, semanticweb, semantic, semantic-web",37.7753,-122.398058,24000000.0,$,1.0,24000000.0,False,False,True
137,uTest,Framingham,USA,"software-testing, software-qa, testing, qa, mobile-testing, web-testing, desktop-testing, software-quality",42.288291,-71.52679,37800000.0,$,1.0,37800000.0,False,False,True
141,Ubertor,Richmond,CAN,"realestate, websitecreator, vancouver",49.25403,-123.115208,0.0,$,1.0,0.0,False,False,False
142,Crusher,San Francisco,USA,"online-invites, web-invite, invite",37.772542,-122.430127,0.0,$,1.0,0.0,False,False,False
144,Rollbase,Saratoga,USA,"paas, platform, enterprise, cloud, saas, platform-as-a-service, software-as-a-service, crm, force-com",37.2572451,-122.0341004,300000.0,$,1.0,300000.0,False,False,False
148,PicksPal,Mountain View,USA,"fantasysports, gaming, picks, sports",37.40047,-122.072981,15000000.0,$,1.0,15000000.0,False,True,True
150,Jango,New York,USA,"personalizedradio, internetradio, radio, musicrecommendation",40.757929,-73.985506,0.0,$,1.0,0.0,False,False,False
152,Compete,Boston,USA,"analytics, web-analytics, competitive-intelligence, market-research, business-intelligence, data, consumer-behavior-research",42.346743,-71.076632,33000000.0,$,1.0,33000000.0,False,False,True
153,Zmags,Copenhagen,DNK,"epublishing, rich-media, mobile-publishing, flash-publication, digital-magazine, online-magazine, digital-catalog, online-catalog, pdf-to-flash, page-flipping, digital-publishing, page-turning-software",55.6839208,12.571492,20800000.0,$,1.0,20800000.0,False,False,True
155,Zmags,London,GBR,"epublishing, rich-media, mobile-publishing, flash-publication, digital-magazine, online-magazine, digital-catalog, online-catalog, pdf-to-flash, page-flipping, digital-publishing, page-turning-software",51.5111369,-0.1247662,20800000.0,$,1.0,20800000.0,False,False,True
156,Turn,Redwood City,USA,"real-time-bidding, rtb, roi-optimizer, search, digital-campaigns, privacy-compliance, turn-media-platform",37.512253,-122.201099,61100000.0,$,1.0,61100000.0,False,False,True
163,TrackVia,Denver,USA,"database, onlinedatabase, webdatabase",39.738499,-105.158645,9020000.0,$,1.0,9020000.0,False,False,True
164,Podaddies,San Francisco,USA,"video-advertising, software-platform",37.7726402,-122.4099154,1000000.0,$,1.0,1000000.0,False,False,False
165,Jackson Fish Market,Seattle,USA,"theyrebeautiful, microsoft, invitastic, softwaredevelopment, 37signals, childrensbooks, ebooks",47.6018824,-122.3355636,0.0,$,1.0,0.0,False,False,False
167,RescueTime,Seattle,USA,"timemanagement, desktopapplication, gettingthingsdone, webbasedplanners, work-tracking, saas",47.603577,-122.335333,920000.0,$,1.0,920000.0,False,False,False
168,SnapYap,Boston,USA,"videoconferencing, videocalls, videomessaging, webcam, video-conferencing, video-chat, tokbox, userplane, Seesmic",42.352096,-71.064632,0.0,$,1.0,0.0,False,False,False
170,Doodlekit,Kansas City,USA,"website, builder, free, online",38.9143473,-94.4284985,0.0,$,1.0,0.0,False,False,False
171,Deezer,Paris,FRA,"music, streaming-music, web-based, sharing, social, facebook, editorial, playlists",48.8780596,2.3283853,149000000.0,$,1.0,149000000.0,False,False,True
172,eyeOS,Barcelona,ESP,"webos, cloud, desktop",41.3854855,2.1702872,1000000.0,€,1.07,1070000.0,False,False,True
174,Xindesk,Stockholm,SWE,"sweden, webos, webtop",59.336527,18.077451,0.0,$,1.0,0.0,False,False,False
175,WildTangent,Redmond,USA,"games, online-games, video-games, online-advertising",37.09024,-95.712891,84000000.0,$,1.0,84000000.0,False,False,True
176,Gilt Groupe,New York,USA,"clothing, fashion, designer, apparel, luxury, travel, shopping, deals",40.74727,-73.9800645,236000000.0,$,1.0,236000000.0,True,False,True
177,LiveJournal,San Francisco,USA,"blogging, software, hosted",37.7799872,-122.3975878,0.0,$,1.0,0.0,False,False,False
178,Vemo,Brooklyn,USA,"saas, enterprise, enterprisesoftware, workforceplanning, hr",40.6772802,-74.0094471,0.0,$,1.0,0.0,False,False,False
179,AppJet,San Francisco,USA,"webapps, javascript, y-combinator",37.775196,-122.419204,715000.0,$,1.0,715000.0,False,False,False
180,PlayFirst,San Francisco,USA,"mobile-games, iphone-games, ipad-games, casual-games, diner-dash, chocolatier, dream-chronicles, wedding-dash, dinertown-zoo",37.790346,-122.40185,37700000.0,$,1.0,37700000.0,False,False,True
182,CDNetworks,San Jose,USA,"cdn, content-deliver-network, cloud, security, acceleration, web, website, internet",37.4050988,-121.9477639,96500000.0,$,1.0,96500000.0,False,False,True
183,Apple,Cupertino,USA,"apple, computers, ipods, iphones, digitalmusic",37.330534,-122.028961,0.0,$,1.0,0.0,False,False,False
